Id,AcceptedAnswerId,CreationDate,Title,Body,Tags,AnswerBody,Params
3138738,3139627,2010-06-29 07:39:11,is there any trick to do wildcards search on apache cassandra?,"<p>i need to do something like this on apache cassandra,
SELECT * FROM mytable where address = ""%indonesia%""</p>

<p>any idea how to do it on cassandra?</p>
",<database><nosql><cassandra>,"<p>Its not supported out of the box. You must maintain your own indices. </p>

<p>I would recommend to use ""Supercolumn index"" or use a order preserving partitioner (e.g. org.apache.cassandra.dht.OrderPreservingPartioner) in conjunction with range queries. </p>

<p>Take a look at <a href=""http://www.slideshare.net/benjaminblack/cassandra-basics-indexing"" rel=""nofollow noreferrer"">the slides</a> from Benjamin Black's excellent talk about cassandra and index</p>
",['partitioner']
5100782,5102518,2011-02-24 05:35:31,cassandra upgrade from 0.6 to 0.7.2,"<p>I followed the instructions in NEWS.txt to upgrade cassandra 0.6 to 0.7.2. 
The instructions are: 
    The process to upgrade is: 
    1) run ""nodetool drain"" on <em>each</em> 0.6 node.  When drain finishes (log 
       message ""Node is drained"" appears), stop the process. 
    2) Convert your storage-conf.xml to the new cassandra.yaml using 
       ""bin/config-converter"". 
    3) Rename any of your keyspace or column family names that do not adhere 
       to the '^\w+' regex convention. 
    4) Start up your cluster with the 0.7 version. 
    5) Initialize your Keyspace and ColumnFamily definitions using 
       ""bin/schematool   import"".  <em>You only need to do 
       this to one node</em>. </p>

<p>I did the first three steps. drain node, stop cassandra 0.6, convert old storage-conf.xml to cassandra.yaml. 
I start cassandra 0.7.2 using: ""bin/cassandra -f"". But it always complains the following errors. I am wondering whether I followed the right instructions. If so, how could i fix this problem?</p>

<p>""Fatal configuration error 
org.apache.cassandra.config.ConfigurationException: saved_caches_directory missing"" </p>
",<upgrade><cassandra>,"<p>Default location for saved_caches_directory is /var/lib/cassandra/saved_caches (From <a href=""http://wiki.apache.org/cassandra/StorageConfiguration"" rel=""nofollow"">wiki</a>). Try to create that manually (dont forget user permissions)</p>
",['saved_caches_directory']
5534713,5539325,2011-04-04 04:57:55,Cassandra startup problem: Attempt to assign id to existing column family,"<p>I'm using <strong>cassandra 0.7.4</strong> on centos5.5 x86_64 with jdk-1.6.0_24 64-Bit.
 When I restart it , it throw out:</p>

<hr>

<pre><code>ERROR 11:37:32,009 Exception encountered during startup.
java.io.IOError: org.apache.cassandra.config.ConfigurationException: Attempt to assign id to existing column family.
    at org.apache.cassandra.config.DatabaseDescriptor.loadSchemas(DatabaseDescriptor.java:476)
    at org.apache.cassandra.service.AbstractCassandraDaemon.setup(AbstractCassandraDaemon.java:138)
    at org.apache.cassandra.service.AbstractCassandraDaemon.activate(AbstractCassandraDaemon.java:314)
    at org.apache.cassandra.thrift.CassandraDaemon.main(CassandraDaemon.java:79)
Caused by: org.apache.cassandra.config.ConfigurationException: Attempt to assign id to existing column family.
    at org.apache.cassandra.config.CFMetaData.map(CFMetaData.java:223)
    at org.apache.cassandra.config.DatabaseDescriptor.loadSchemas(DatabaseDescriptor.java:472)
    ... 3 more    
</code></pre>

<hr>

<p>I try to location the problem: when I delete the file of the system keyspace ,It can restart <strong>sucess</strong>!
 So I think this problem is cause by system Keyspace,even at the CF <strong>Scheam</strong>.</p>

<p>Then I build a new test environment, I know this proble is cause by this opeartion</p>

<pre><code>update keyspace system with replication_factor=3;
</code></pre>

<p>But now how can i repair it ?!
  There are many data on this cluster,and I <strong><em>couldn't</em></strong> lose data.</p>

<p>I have already do <code>update keyspace system with replication_factor=1;</code> ,but the problem <em>still exist</em>.
 I try to use nodetool to repair after or befor flush, all no effect.</p>

<p>How can I restart cassandra <strong>without lose data</strong> ? Who can help me?</p>
",<cassandra><startup>,"<p>You should never modify the system keyspace unless you really, really know what you are doing. (If you have to ask, you don't. :)</p>

<p>So, the answer is: don't do that.</p>

<p>To recover, you should set initial_token in cassandra.yaml to your node's current token (which you can see with ""nodetool ring""), then delete the system keyspace and restart. Then you'll need to recreate your columnfamily definitions, but your data will not be affected.</p>
",['initial_token']
6292734,6307553,2011-06-09 12:25:02,Fetching key range with common prefix in Cassandra,"<p>I want to fetch all rows having a common prefix using hector API. I played with RangeSuperSlicesQuery a bit but didn't find a way to get it working properly. Does key range parameters work with wild cards etc? </p>

<p>Update: I used ByteOrderedPartitioner instead of RandomPartitioner and it works fine with that. Is this the expected behavior?</p>
",<cassandra><hector>,"<p>Yes, that's the expected behavior. In RandomPartitioner, rows are stored in the order of the MD5 hash of their keys, so to get a meaningful range of keys, you need to use an order preserving partitioner like ByteOrderedPartitioner.</p>

<p>However, there are downsides to using <a href=""http://ria101.wordpress.com/2010/02/22/cassandra-randompartitioner-vs-orderpreservingpartitioner/"" rel=""noreferrer"">ByteOrderedPartitioner or OrderPreservingPartitioner</a> that you can usually avoid with a slightly different data model and RandomPartitioner.  </p>
",['partitioner']
6433842,6436258,2011-06-22 01:14:33,"Cassandra 0.8 = What kind of ""Row Count"" features are provided?","<p>are ""Row Counts"" (in a CF) in Cassandra meanwhile supported for </p>

<p>a) RAndomPartitioner ?</p>

<p>b) OrderPreservingPartitioner?</p>

<p><a href=""http://www.datastax.com/dev/blog/whats-new-in-cassandra-0-8-part-2-counters"" rel=""nofollow noreferrer"">http://www.datastax.com/dev/blog/whats-new-in-cassandra-0-8-part-2-counters</a> implies this is easily possible? Quote: "" “counting,” we mean here to provide an atomic increment operation in a single column value, as opposed to counting the number of columns in a row, or rows in a column family, both of which were already supported.""</p>

<p>Two years ago it was defenitely not supported for RP:
<a href=""https://stackoverflow.com/questions/1951843/row-count-of-a-column-family-in-cassandra"">Row count of a column family in Cassandra</a></p>

<p>Furthermoe even with OrderPreservingPartitioner, it was(??) a very heavy Operation (as far as I understood i have to retrieve all objects, this is/was not only a lightweight count operation to the row-count, but rather read also all data (rows?) ?)</p>

<p>Update: I am absolutely aware of, that the new counting feature is completely different to row-counts. But the text above implies row-counts are also easily possible and supported quote ""...both of which are supported...""? Is this marketing language meaning it is only possible as an extremely heaving operation using get_range_slice? Or is there something new that I am completly missing, that does this lightweight for both partitioniers? </p>

<p>Thanks</p>

<p>Markus</p>
",<cassandra>,"<p>Counters and counting the number of rows / columns are two different topics.  </p>

<p><a href=""http://cassandra-user-incubator-apache-org.3065146.n2.nabble.com/Count-rows-td5420889.html"" rel=""nofollow"">http://cassandra-user-incubator-apache-org.3065146.n2.nabble.com/Count-rows-td5420889.html</a></p>

<p>I would suggest, as you add new rows to a column family, simply increment +1 a counter CF/row/key and you wont have to page through all of the rows (as the link above says, what if you have billions?) -- This also allows you to not care which partitioner you use ... </p>
",['partitioner']
6909826,6910417,2011-08-02 09:22:05,Sort by key in Cassandra,"<p>Let's assume I have a keyspace with a column family that stores user objects and the key of these objects is the username.</p>

<p>How can I use Hector to get a list of users sorted by username?</p>

<p>I tried to use a RangeSlicesQuery, paging works fine with this query, but the results are not sorted in any way.</p>

<p>I'm an absolute Cassandra beginner, can anyone point me to a simple example that shows how to sort a column family by key? Please ask if you need more details on my efforts.</p>

<p>Edit:</p>

<p>The result was not sorted because I used the default RandomPartitioner instead of the OrderPreseveringPartitioner in cassandra.yaml.</p>

<p>Probably it's better not to rely on the sorting by key but to use a secondary index.</p>
",<sorting><cassandra><hector>,"<p>Quoting <a href=""https://rads.stackoverflow.com/amzn/click/com/1449390412"" rel=""nofollow noreferrer"" rel=""nofollow noreferrer"">Cassandra - The Definitive Guide</a></p>

<blockquote>
  <p>Column names are stored in sorted order according to the value of compare_with. Rows,
  on the other hand, are stored in an order defined by the partitioner (for example,
  with RandomPartitioner, they are in random order, etc.)</p>
</blockquote>

<p>I guess you are using <code>RandomPartitioner</code> which </p>

<blockquote>
  <p>... return data in an essentially random order. </p>
</blockquote>

<p>You should probably use <code>OrderPreservingPartitioner (OPP)</code> where</p>

<blockquote>
  <p>Rows are therefore stored
  by  key  order,  aligning  the  physical  structure  of  the  data  with  your  sort  order.</p>
</blockquote>

<p>Be aware of inefficiency of OPP.</p>

<hr>

<p>(edit on Mar 07, 2014)<br>
<strong>Important:</strong></p>

<p>This answer is very old now.</p>

<p>It is a system-wide setting. You can set in <code>cassandra.yaml</code>. See <a href=""http://www.datastax.com/docs/1.1/configuration/node_configuration#partitioner"" rel=""nofollow noreferrer"">this doc</a>. Again, OPP is highly discouraged. This document is for version 1.1, and you can see <em>it is deprecated</em>. It is likely that it is removed from latest version. If you do want to use OPP, you may want to revisit the architecture the architecture.</p>
",['partitioner']
7237271,7251868,2011-08-29 23:46:12,Large scale data processing Hbase vs Cassandra,"<p>I am nearly landed at Cassandra after my research on large scale data storage solutions. But its generally said that Hbase is better solution for large scale data processing and analysis. </p>

<p>While both are same key/value storage and both are/can run (Cassandra recently) Hadoop layer then what makes Hadoop a better candidate when processing/analysis is required on large data.</p>

<p>I also found good details about both at
<a href=""http://ria101.wordpress.com/2010/02/24/hbase-vs-cassandra-why-we-moved/"">http://ria101.wordpress.com/2010/02/24/hbase-vs-cassandra-why-we-moved/</a> </p>

<p>but I'm still looking for concrete advantages of Hbase.</p>

<p>While I am more convinced about Cassandra because its simplicity for adding nodes and seamless replication and no point of failure features. And it also keeps secondary index feature so its a good plus.</p>
",<nosql><hadoop><cassandra><hbase><data-processing>,"<p>Trying to determine which is best for you really depends on what you are going to use it for, they each have their advantages and without any more details it becomes more of a religious war. That post you referenced is also more than a year old and both have gone through many changes since then. Please also keep in mind I am not familiar with the more recent Cassandra developments.</p>

<p>Having said that, I'll paraphrase HBase committer Andrew Purtell and add some of my own experiences:</p>

<ul>
<li><p>HBase is in larger production environments (1000 nodes) although that is still in the ballpark of Cassandra's ~400 node installs so its really a marginal difference.</p></li>
<li><p>HBase and Cassandra both supports replication between clusters/datacenters. I believe HBase's exposes more to the user so it appears more complicated but then you also get more flexibility.</p></li>
<li><p>If strong consistency is what your application needs then HBase is likely a better fit. It is designed from the ground up to be consistent. For example it allows for simpler implementation of atomic counters (I think Cassandra just got them) as well as Check and Put operations.</p></li>
<li><p>Write performance is great, from what I understand that was one of the reasons Facebook went with HBase for their messenger.</p></li>
<li><p>I'm not sure of the current state of Cassandra's ordered partitioner, but in the past it required manual rebalancing. HBase handles that for you if you want. The ordered partitioner is important for Hadoop style processing.</p></li>
<li><p>Cassandra and HBase are both complex, Cassandra just hides it better. HBase exposes it more via using HDFS for its storage, if you look at the codebase Cassandra is just as layered. If you compare the Dynamo and Bigtable papers you can see that Cassandra's theory of operation is actually more complex.</p></li>
<li><p>HBase has more unit tests FWIW.</p></li>
<li><p>All Cassandra RPC is Thrift, HBase has a Thrift, REST and native Java. The Thrift and REST do only offer a subset of the total client API but if you want pure speed the native Java client is there.</p></li>
<li><p>There are advantages to both peer to peer and master to slave. The master - slave setup generally makes it easier to debug and reduces quite a bit of complexity.</p></li>
<li><p>HBase is not tied to only traditional HDFS, you can change out your underlying storage depending on your needs. <a href=""http://www.mapr.com/"" rel=""noreferrer"">MapR</a> looks quite interesting and I have heard good things although I have not used it myself.</p></li>
</ul>
",['partitioner']
7578609,7587875,2011-09-28 05:11:18,"cassandra secondary index return results in lexical rowkey order, even with RandomPartitioner?","<p>As far as I understand, a Cassandra secondary index is stored as an internal CF, where the rowkeys are the values within the index, and the columns are rowkeys back to the original CF being indexed.</p>

<p>Is it possible to have the columns of the index store the original CF rowkey values? Then, since columns within the index row are sorted, a query for a particular value in the index theoretically could return rowkeys in sorted value order.</p>

<p>This is how I would do it if I was to manually maintain my own index CF (I'd have my manual index CF sort its columns as strings), I'm curious if the same can be done with built-in secondary indexes.</p>

<hr>

<p>A hopefully clarifying example... I have 5 rows with 2 columns each (<code>identifier</code> is to easily distinguish the rows, <code>birth_date</code> is being indexed), each row with a UTF8 key (in this case a single char string):</p>

<pre><code>[default@demo] create column family users with comparator=UTF8Type
...     and column_metadata=
...     [{column_name: identifier, validation_class: LongType}
...     ,{column_name: birth_date, validation_class: LongType, index_type: KEYS}];
86518c00-e9f7-11e0-0000-242d50cf1fde
Waiting for schema agreement...
... schemas agree across the cluster
[default@demo] set users['a']['identifier'] = 1;
Value inserted.
[default@demo] set users['a']['birth_date'] = 1975;
Value inserted.
[default@demo] set users['c']['identifier'] = 3;
Value inserted.
[default@demo] set users['c']['birth_date'] = 1975;
Value inserted.
[default@demo] set users['b']['identifier'] = 2;
Value inserted.
[default@demo] set users['b']['birth_date'] = 1975;
Value inserted.
[default@demo] set users['x']['identifier'] = 5;
Value inserted.
[default@demo] set users['x']['birth_date'] = 1975;
Value inserted.
[default@demo] set users['f']['identifier'] = 4;
Value inserted.
[default@demo] set users['f']['birth_date'] = 1975;
Value inserted.
</code></pre>

<p>Now when I make an index query, I get the users rows back in what appears to be reverse order of their rowkeys' md5 hashes (looking at the <code>identifier</code>, the result order is x,b,f,c,a):</p>

<pre><code>[default@demo] get users where birth_date = 1975;
-------------------
RowKey: ff
=&gt; (column=birth_date, value=1975, timestamp=1317231030507000)
=&gt; (column=identifier, value=5, timestamp=1317231030504000)
-------------------
RowKey: 0b
=&gt; (column=birth_date, value=1975, timestamp=1317231030502000)
=&gt; (column=identifier, value=2, timestamp=1317231030500000)
-------------------
RowKey: 0f
=&gt; (column=birth_date, value=1975, timestamp=1317231031992000)
=&gt; (column=identifier, value=4, timestamp=1317231030509000)
-------------------
RowKey: 0c
=&gt; (column=birth_date, value=1975, timestamp=1317231030498000)
=&gt; (column=identifier, value=3, timestamp=1317231030494000)
-------------------
RowKey: 0a
=&gt; (column=birth_date, value=1975, timestamp=1317231030491000)
=&gt; (column=identifier, value=1, timestamp=1317231030476000)

5 Rows Returned.
</code></pre>

<p>My question is, is there a way to have the internal index CF use 'a', 'b', 'c', 'f', 'x' as its column names, so that when I make an index query, I get back the users rows in lexical rowkey order.</p>
",<cassandra>,"<p>The reason you can't do this is, the index ordering has to match the partitioner ordering, or you couldn't ""page"" through resultsets across multiple nodes (without having to do scatter/gather for each query, anyway).</p>

<p>We do have <a href=""https://issues.apache.org/jira/browse/CASSANDRA-1599"" rel=""nofollow"">https://issues.apache.org/jira/browse/CASSANDRA-1599</a> open to allow custom ordering, so you should watch that issue for updates.</p>
",['partitioner']
8793430,8834951,2012-01-09 18:41:04,"For Cassandra, how should the historical data be taken care of?","<p>Say I have a dozen CF/SCF and have the write traffic keeps coming (might have spikes). Over the time, a few of them will growing much faster (due to their own nature) than others and data table could be huge. At that stage, should they still be sitting on the same disk as the other CF/SCF? what if the disk is almost full due to the large amount of store data? or should we consider introducing additional CF/SCF for storing historical data?</p>

<p>In general, what's the best practices that we need follow to take care of the historical data? </p>
",<cassandra><database-backups><historical-db>,"<p>The size of the CF isn't really the issue, as the keys are replicated and spread based on the # of nodes, the token selection per node, the partitioner selected and the replication strategy -- all configurable for a keyspace.  </p>
",['partitioner']
10407072,10407149,2012-05-02 02:49:50,Cassandra seed nodes and clients connecting to nodes,"<p>I'm a little confused about Cassandra seed nodes and how clients are meant to connect to the cluster. I can't seem to find this bit of information in the documentation.</p>

<p>Do the clients only contain a list of the seed node and each node delegates a new host for the client to connect to? Are seed nodes only really for node to node discovery, rather than a special node for clients?</p>

<p>Should each client use a small sample of random nodes in the DC to connect to?</p>

<p>Or, should each client use all the nodes in the DC?</p>
",<cassandra>,"<p>Answering my own question:</p>

<p><strong>Seeds</strong></p>

<p>From the <a href=""http://cassandra.apache.org/doc/latest/faq/index.html#what-are-seeds"" rel=""noreferrer"">FAQ</a>:</p>

<blockquote>
  <p>Seeds are used during startup to discover the cluster.</p>
</blockquote>

<p>Also from the <a href=""http://www.datastax.com/docs/1.0/cluster_architecture/gossip"" rel=""noreferrer"">DataStax documentation</a> on ""Gossip"":</p>

<blockquote>
  <p>The seed node designation has no purpose other than bootstrapping the gossip process
  for new nodes joining the cluster. Seed nodes are not a single
  point of failure, nor do they have any other special purpose in
  cluster operations beyond the bootstrapping of nodes.</p>
</blockquote>

<p>From these details it seems that a seed is nothing special to clients.</p>

<p><strong>Clients</strong></p>

<p>From the <a href=""http://www.datastax.com/docs/1.0/cluster_architecture/about_client_requests"" rel=""noreferrer"">DataStax documentation</a> on client requests:</p>

<blockquote>
  <p>All nodes in Cassandra are peers. A client read or write request can
  go to any node in the cluster. When a client connects to a node and
  issues a read or write request, that node serves as the coordinator
  for that particular client operation.</p>
  
  <p>The job of the coordinator is to act as a proxy between the client
  application and the nodes (or replicas) that own the data being
  requested. The coordinator determines which nodes in the ring should
  get the request based on the cluster configured partitioner and
  replica placement strategy.</p>
</blockquote>

<p>I gather that the pool of nodes that a client connects to can just be a handful of (random?) nodes in the DC to allow for potential failures.</p>
",['partitioner']
11014014,11019631,2012-06-13 11:34:47,get column position,"<p>In CassandraDB, using an ordered column family. I know you can get slices, but can you get the position. For example, in this datamodel I save scores like this:</p>

<pre><code>""Scores"":
{
   ""1000"": ""bob, lucas"",
   ""900"": ""tim""
   ""800"": ""mario""
}
</code></pre>

<p>Is it possible, knowing that the user has a score of ""900"" and his nick is ""tim"", to know that he is at position 2 of the ordered column family?</p>
",<nosql><cassandra>,"<p>Cassandra does not provide this functionality out of the box, but you could implement this yourself using three separate CFs.  Consider this scenario:</p>

<pre><code>""Scores"":
{
   ""1000"": ""bob, lucas""
   ""900"": ""tim""
   ""800"": ""mario""
}

""PlayerScores"":
{
   ""bob"": ""1000""
   ""lucas"": ""1000""
   ""tim"": ""900""
   ""mario"": ""800""
}

""ScoreTotals"":
{
   ""1000"": 
   {
      ""1000"":2
   }
   ""900"": 
   {
      ""900"":1
   }
   ""800"": 
   {
      ""800"":1
   }
}
</code></pre>

<p>The ScoreTotals CF would be used with counter columns to increment/decrement the value each time a user achieves that score.  If you have additional granularity in your scores (like 910 vs an even 900) you can consider the keys as buckets with column names as specific scores. PlayerScores obviously exists so you can query a score for a player.</p>

<p>You can then determine ranking by simply summing the totals of all scores greater than that of the player.  Since scores are stored in column names, you can use a standard slice query to get your range without needing to use an order-preserving partitioner (which has some negative side effects).</p>
",['partitioner']
